"CustomerId","InvoiceDate","BillingCity","Partition"
48,"2009-05-10 00:00:00",Amsterdam,1
48,"2010-12-15 00:00:00",Amsterdam,2
48,"2011-03-19 00:00:00",Amsterdam,3
48,"2011-06-21 00:00:00",Amsterdam,4
48,"2012-02-09 00:00:00",Amsterdam,5
48,"2013-08-02 00:00:00",Amsterdam,6
48,"2013-09-12 00:00:00",Amsterdam,7
59,"2009-04-05 00:00:00",Bangalore,1
59,"2009-07-08 00:00:00",Bangalore,2
59,"2010-02-26 00:00:00",Bangalore,3
59,"2011-08-20 00:00:00",Bangalore,4
59,"2011-09-30 00:00:00",Bangalore,5
59,"2012-05-30 00:00:00",Bangalore,6
38,"2009-02-01 00:00:00",Berlin,1
36,"2009-05-05 00:00:00",Berlin,2
38,"2009-05-06 00:00:00",Berlin,3
36,"2009-06-15 00:00:00",Berlin,4
38,"2009-08-08 00:00:00",Berlin,5
36,"2010-02-13 00:00:00",Berlin,6
38,"2010-03-29 00:00:00",Berlin,7
36,"2011-09-20 00:00:00",Berlin,8
38,"2011-09-20 00:00:00",Berlin,9
38,"2011-10-31 00:00:00",Berlin,10
36,"2011-12-23 00:00:00",Berlin,11
36,"2012-03-26 00:00:00",Berlin,12
38,"2012-06-30 00:00:00",Berlin,13
36,"2012-11-14 00:00:00",Berlin,14
42,"2009-02-02 00:00:00",Bordeaux,1
42,"2009-05-07 00:00:00",Bordeaux,2
42,"2009-12-26 00:00:00",Bordeaux,3
42,"2011-06-19 00:00:00",Bordeaux,4
42,"2011-07-30 00:00:00",Bordeaux,5
42,"2012-03-29 00:00:00",Bordeaux,6
42,"2013-11-03 00:00:00",Bordeaux,7
23,"2009-01-11 00:00:00",Boston,1
23,"2009-09-11 00:00:00",Boston,2
23,"2011-04-18 00:00:00",Boston,3
23,"2011-07-21 00:00:00",Boston,4
23,"2011-10-23 00:00:00",Boston,5
23,"2012-06-12 00:00:00",Boston,6
23,"2013-12-04 00:00:00",Boston,7
13,"2009-06-05 00:00:00",Brasília,1
13,"2009-09-07 00:00:00",Brasília,2
13,"2009-12-10 00:00:00",Brasília,3
13,"2010-07-31 00:00:00",Brasília,4
13,"2012-01-22 00:00:00",Brasília,5
13,"2012-03-03 00:00:00",Brasília,6
13,"2012-11-01 00:00:00",Brasília,7
8,"2009-01-03 00:00:00",Brussels,1
8,"2009-08-24 00:00:00",Brussels,2
8,"2011-02-15 00:00:00",Brussels,3
8,"2011-03-28 00:00:00",Brussels,4
8,"2011-11-26 00:00:00",Brussels,5
8,"2013-07-02 00:00:00",Brussels,6
8,"2013-10-04 00:00:00",Brussels,7
45,"2010-01-08 00:00:00",Budapest,1
45,"2010-02-18 00:00:00",Budapest,2
45,"2010-10-19 00:00:00",Budapest,3
45,"2012-05-25 00:00:00",Budapest,4
45,"2012-08-27 00:00:00",Budapest,5
45,"2012-11-29 00:00:00",Budapest,6
45,"2013-07-20 00:00:00",Budapest,7
56,"2010-06-12 00:00:00",Buenos Aires,1
56,"2010-09-14 00:00:00",Buenos Aires,2
56,"2010-12-17 00:00:00",Buenos Aires,3
56,"2011-08-07 00:00:00",Buenos Aires,4
56,"2013-01-28 00:00:00",Buenos Aires,5
56,"2013-03-10 00:00:00",Buenos Aires,6
56,"2013-11-08 00:00:00",Buenos Aires,7
24,"2010-02-08 00:00:00",Chicago,1
24,"2010-03-21 00:00:00",Chicago,2
24,"2010-11-19 00:00:00",Chicago,3
24,"2012-06-25 00:00:00",Chicago,4
24,"2012-09-27 00:00:00",Chicago,5
24,"2012-12-30 00:00:00",Chicago,6
24,"2013-08-20 00:00:00",Chicago,7
9,"2009-09-06 00:00:00",Copenhagen,1
9,"2009-12-09 00:00:00",Copenhagen,2
9,"2010-03-13 00:00:00",Copenhagen,3
9,"2010-11-01 00:00:00",Copenhagen,4
9,"2012-04-24 00:00:00",Copenhagen,5
9,"2012-06-04 00:00:00",Copenhagen,6
9,"2013-02-02 00:00:00",Copenhagen,7
19,"2009-03-04 00:00:00",Cupertino,1
19,"2009-04-14 00:00:00",Cupertino,2
19,"2009-12-13 00:00:00",Cupertino,3
19,"2011-07-20 00:00:00",Cupertino,4
19,"2011-10-22 00:00:00",Cupertino,5
19,"2012-01-24 00:00:00",Cupertino,6
19,"2012-09-13 00:00:00",Cupertino,7
58,"2010-06-12 00:00:00",Delhi,1
58,"2010-07-23 00:00:00",Delhi,2
58,"2011-03-23 00:00:00",Delhi,3
58,"2012-10-27 00:00:00",Delhi,4
58,"2013-01-29 00:00:00",Delhi,5
58,"2013-05-03 00:00:00",Delhi,6
58,"2013-12-22 00:00:00",Delhi,7
43,"2010-01-08 00:00:00",Dijon,1
43,"2010-04-12 00:00:00",Dijon,2
43,"2010-07-15 00:00:00",Dijon,3
43,"2011-03-05 00:00:00",Dijon,4
43,"2012-08-26 00:00:00",Dijon,5
43,"2012-10-06 00:00:00",Dijon,6
43,"2013-06-06 00:00:00",Dijon,7
46,"2009-02-03 00:00:00",Dublin,1
46,"2009-09-24 00:00:00",Dublin,2
46,"2011-03-18 00:00:00",Dublin,3
46,"2011-04-28 00:00:00",Dublin,4
46,"2011-12-27 00:00:00",Dublin,5
46,"2013-08-02 00:00:00",Dublin,6
46,"2013-11-04 00:00:00",Dublin,7
54,"2009-03-22 00:00:00",Edinburgh ,1
54,"2010-09-13 00:00:00",Edinburgh ,2
54,"2010-10-24 00:00:00",Edinburgh ,3
54,"2011-06-24 00:00:00",Edinburgh ,4
54,"2013-01-28 00:00:00",Edinburgh ,5
54,"2013-05-02 00:00:00",Edinburgh ,6
54,"2013-08-04 00:00:00",Edinburgh ,7
14,"2009-01-06 00:00:00",Edmonton,1
14,"2010-08-13 00:00:00",Edmonton,2
14,"2010-11-15 00:00:00",Edmonton,3
14,"2011-02-17 00:00:00",Edmonton,4
14,"2011-10-08 00:00:00",Edmonton,5
14,"2013-03-31 00:00:00",Edmonton,6
14,"2013-05-11 00:00:00",Edmonton,7
26,"2009-11-07 00:00:00",Fort Worth,1
26,"2010-02-09 00:00:00",Fort Worth,2
26,"2010-05-14 00:00:00",Fort Worth,3
26,"2011-01-02 00:00:00",Fort Worth,4
26,"2012-06-25 00:00:00",Fort Worth,5
26,"2012-08-05 00:00:00",Fort Worth,6
26,"2013-04-05 00:00:00",Fort Worth,7
37,"2009-01-19 00:00:00",Frankfurt,1
37,"2010-07-13 00:00:00",Frankfurt,2
37,"2010-08-23 00:00:00",Frankfurt,3
37,"2011-04-23 00:00:00",Frankfurt,4
37,"2012-11-27 00:00:00",Frankfurt,5
37,"2013-03-01 00:00:00",Frankfurt,6
37,"2013-06-03 00:00:00",Frankfurt,7
31,"2009-03-09 00:00:00",Halifax,1
31,"2010-10-14 00:00:00",Halifax,2
31,"2011-01-16 00:00:00",Halifax,3
31,"2011-04-20 00:00:00",Halifax,4
31,"2011-12-09 00:00:00",Halifax,5
31,"2013-06-01 00:00:00",Halifax,6
31,"2013-07-12 00:00:00",Halifax,7
44,"2009-08-11 00:00:00",Helsinki,1
44,"2011-03-18 00:00:00",Helsinki,2
44,"2011-06-20 00:00:00",Helsinki,3
44,"2011-09-22 00:00:00",Helsinki,4
44,"2012-05-12 00:00:00",Helsinki,5
44,"2013-11-03 00:00:00",Helsinki,6
44,"2013-12-14 00:00:00",Helsinki,7
34,"2009-05-05 00:00:00",Lisbon,1
34,"2009-08-07 00:00:00",Lisbon,2
34,"2009-11-09 00:00:00",Lisbon,3
34,"2010-06-30 00:00:00",Lisbon,4
34,"2011-12-22 00:00:00",Lisbon,5
34,"2012-02-01 00:00:00",Lisbon,6
34,"2012-10-01 00:00:00",Lisbon,7
52,"2009-02-06 00:00:00",London,1
53,"2009-07-06 00:00:00",London,2
53,"2009-08-16 00:00:00",London,3
53,"2010-04-16 00:00:00",London,4
52,"2010-09-13 00:00:00",London,5
52,"2010-12-16 00:00:00",London,6
52,"2011-03-20 00:00:00",London,7
52,"2011-11-08 00:00:00",London,8
53,"2011-11-21 00:00:00",London,9
53,"2012-02-23 00:00:00",London,10
53,"2012-05-27 00:00:00",London,11
53,"2013-01-15 00:00:00",London,12
52,"2013-05-01 00:00:00",London,13
52,"2013-06-11 00:00:00",London,14
41,"2010-04-11 00:00:00",Lyon,1
41,"2010-05-22 00:00:00",Lyon,2
41,"2011-01-20 00:00:00",Lyon,3
41,"2012-08-26 00:00:00",Lyon,4
41,"2012-11-28 00:00:00",Lyon,5
41,"2013-03-02 00:00:00",Lyon,6
41,"2013-10-21 00:00:00",Lyon,7
25,"2009-03-06 00:00:00",Madison,1
25,"2009-10-25 00:00:00",Madison,2
25,"2011-04-18 00:00:00",Madison,3
25,"2011-05-29 00:00:00",Madison,4
25,"2012-01-27 00:00:00",Madison,5
25,"2013-09-02 00:00:00",Madison,6
25,"2013-12-05 00:00:00",Madison,7
50,"2009-06-23 00:00:00",Madrid,1
50,"2010-12-15 00:00:00",Madrid,2
50,"2011-01-25 00:00:00",Madrid,3
50,"2011-09-25 00:00:00",Madrid,4
50,"2013-05-01 00:00:00",Madrid,5
50,"2013-08-03 00:00:00",Madrid,6
50,"2013-11-05 00:00:00",Madrid,7
3,"2010-03-11 00:00:00",Montréal,1
3,"2010-04-21 00:00:00",Montréal,2
3,"2010-12-20 00:00:00",Montréal,3
3,"2012-07-26 00:00:00",Montréal,4
3,"2012-10-28 00:00:00",Montréal,5
3,"2013-01-30 00:00:00",Montréal,6
3,"2013-09-20 00:00:00",Montréal,7
16,"2009-02-19 00:00:00",Mountain View,1
20,"2010-05-12 00:00:00",Mountain View,2
20,"2010-06-22 00:00:00",Mountain View,3
16,"2010-08-13 00:00:00",Mountain View,4
16,"2010-09-23 00:00:00",Mountain View,5
20,"2011-02-20 00:00:00",Mountain View,6
16,"2011-05-24 00:00:00",Mountain View,7
20,"2012-09-26 00:00:00",Mountain View,8
16,"2012-12-28 00:00:00",Mountain View,9
20,"2012-12-29 00:00:00",Mountain View,10
16,"2013-04-01 00:00:00",Mountain View,11
20,"2013-04-02 00:00:00",Mountain View,12
16,"2013-07-04 00:00:00",Mountain View,13
20,"2013-11-21 00:00:00",Mountain View,14
18,"2010-05-12 00:00:00",New York,1
18,"2010-08-14 00:00:00",New York,2
18,"2010-11-16 00:00:00",New York,3
18,"2011-07-07 00:00:00",New York,4
18,"2012-12-28 00:00:00",New York,5
18,"2013-02-07 00:00:00",New York,6
18,"2013-10-08 00:00:00",New York,7
22,"2010-02-08 00:00:00",Orlando,1
22,"2010-05-13 00:00:00",Orlando,2
22,"2010-08-15 00:00:00",Orlando,3
22,"2011-04-05 00:00:00",Orlando,4
22,"2012-09-26 00:00:00",Orlando,5
22,"2012-11-06 00:00:00",Orlando,6
22,"2013-07-07 00:00:00",Orlando,7
4,"2009-01-02 00:00:00",Oslo,1
4,"2009-04-06 00:00:00",Oslo,2
4,"2009-11-25 00:00:00",Oslo,3
4,"2011-05-19 00:00:00",Oslo,4
4,"2011-06-29 00:00:00",Oslo,5
4,"2012-02-27 00:00:00",Oslo,6
4,"2013-10-03 00:00:00",Oslo,7
30,"2009-08-06 00:00:00",Ottawa,1
30,"2009-11-08 00:00:00",Ottawa,2
30,"2010-02-10 00:00:00",Ottawa,3
30,"2010-10-01 00:00:00",Ottawa,4
30,"2012-03-24 00:00:00",Ottawa,5
30,"2012-05-04 00:00:00",Ottawa,6
30,"2013-01-02 00:00:00",Ottawa,7
40,"2009-02-01 00:00:00",Paris,1
40,"2009-03-14 00:00:00",Paris,2
40,"2009-11-12 00:00:00",Paris,3
39,"2010-04-11 00:00:00",Paris,4
39,"2010-07-14 00:00:00",Paris,5
